,pii,Section_content,Spell_Check_Count,Spell_Check,Converted_Section_Content,Authors
37,S0006295217301892,#57194023050 carried molecular biology pharmacological assays contributed writing paper #57194007161 performed flow cytometry analysis #23497803100 advised seahorse analysis revised manuscript critically scientific content #7004492589 contributed experimental design data interpretation manuscript writing #36041388400 designed planned supervised project wrote paper,3,"{assays: 'analysis', cytometry: 'pattern', seahorse: 'sample'}","A #57194023050  – carried out molecular biology and pharmacological assays, contributed to writing the paper.  #57194007161  – performed flow cytometry analysis;  #23497803100  – advised on Seahorse analysis and revised the manuscript critically for scientific content;  #7004492589  – contributed to experimental design and data interpretation and manuscript writing.  #36041388400  – designed, planned and supervised the project, wrote the paper.","[{Authorseq"":1,""auid"":57194023050,""given_name_pn"":""Ashley A."",""surname_pn"":""Untereiner"",""initials_pn"":""A.A.""},{""Authorseq"":2,""auid"":57194007161,""given_name_pn"":""Gabor"",""surname_pn"":""Oláh"",""initials_pn"":""G.""},{""Authorseq"":3,""auid"":23497803100,""given_name_pn"":""Katalin"",""surname_pn"":""Módis"",""initials_pn"":""K.""},{""Authorseq"":4,""auid"":7004492589,""given_name_pn"":""Mark R."",""surname_pn"":""Hellmich"",""initials_pn"":""M.R.""},{""Authorseq"":5,""auid"":36041388400,""given_name_pn"":""Csaba"",""surname_pn"":""Szabo"",""initials_pn"":""C.""}]"""
38,S0006295217302319,#56007601300 #7201767648 designed experiments #56007601300 #57695799200 #56116837500 #57190672706 #35335350000 #57193272166 performed experiments #56007601300 #57695799200 #56116837500 anayzed data #56007601300 made figures wrote manuscript #56008367300 provided critical commnents #10639940900 #7201767648 supervised project,2,"{anayzed: 'project', commnents: 'notes'}"," #56007601300  and  #7201767648  designed the experiments.  #56007601300 ,  #57695799200 ,  #56116837500 ,  #57190672706 ,  #35335350000  and  #57193272166  performed the experiments.  #56007601300 , #57695799200  and  #56116837500  anayzed the data.  #56007601300  made the figures and wrote the manuscript.  #56008367300  provided critical commnents.  #10639940900  and  #7201767648  supervised the project.","[{Authorseq"":1,""auid"":56007601300,""given_name_pn"":""Xiujing"",""surname_pn"":""Feng"",""initials_pn"":""X.""},{""Authorseq"":2,""auid"":57695799200,""given_name_pn"":""Wen"",""surname_pn"":""Yu"",""initials_pn"":""W.""},{""Authorseq"":3,""auid"":57190672706,""given_name_pn"":""Xinda"",""surname_pn"":""Li"",""initials_pn"":""X.""},{""Authorseq"":4,""auid"":56116837500,""given_name_pn"":""Feifei"",""surname_pn"":""Zhou"",""initials_pn"":""F.""},{""Authorseq"":5,""auid"":57193272166,""given_name_pn"":""Wenlong"",""surname_pn"":""Zhang"",""initials_pn"":""W.""},{""Authorseq"":6,""auid"":35335350000,""given_name_pn"":""Qi"",""surname_pn"":""Shen"",""initials_pn"":""Q.""},{""Authorseq"":7,""auid"":56008367300,""given_name_pn"":""Jianxin"",""surname_pn"":""Li"",""initials_pn"":""J.""},{""Authorseq"":8,""auid"":10639940900,""given_name_pn"":""Can"",""surname_pn"":""Zhang"",""initials_pn"":""C.""},{""Authorseq"":9,""auid"":7201767648,""given_name_pn"":""Pingping"",""surname_pn"":""Shen"",""initials_pn"":""P.""}]"""
39,S0006295219302333,#24450002300 #57223739560 developed hypothesis designed experiments revised manuscript #57190576984 #57209346588 conducted experiments #55654754100 #57190576984 #57209346588 #56666336800 wrote main manuscript #57193211235 contributed new reagents analysis tools #57193211235 lsw #57193211235 z #24367445600 jdz all authors read approved final manuscript,3,"{reagents: 'data', lsw: 'z', jdz: 'Not'}"," #24450002300 and  #57223739560  developed the hypothesis, designed the experiments, and revised the manuscript.  #57190576984  and  #57209346588  conducted experiments  #55654754100 ,  #57190576984 ,  #57209346588  and  #56666336800  wrote the main manuscript.  #57193211235  contributed new reagents and analysis tools.  #57193211235 , LS.W.,  #57193211235 .Z.,  #24367445600  and JD.Z. performed the statistical analyses. All authors read and approved the final manuscript.","[{Authorseq"":1,""auid"":57190576984,""given_name_pn"":""Xu"",""surname_pn"":""Zhang"",""initials_pn"":""X.""},{""Authorseq"":2,""auid"":57209346588,""given_name_pn"":""Lei"",""surname_pn"":""Cai"",""initials_pn"":""L.""},{""Authorseq"":3,""auid"":56666336800,""given_name_pn"":""Shuang"",""surname_pn"":""Zhao"",""initials_pn"":""S.""},{""Authorseq"":4,""auid"":57193211235,""given_name_pn"":""Jing"",""surname_pn"":""Long"",""initials_pn"":""J.""},{""Authorseq"":5,""auid"":55759112600,""given_name_pn"":""Jie"",""surname_pn"":""Li"",""initials_pn"":""J.""},{""Authorseq"":6,""auid"":55655939900,""given_name_pn"":""Lisha"",""surname_pn"":""Wu"",""initials_pn"":""L.""},{""Authorseq"":7,""auid"":55654754100,""given_name_pn"":""Juan"",""surname_pn"":""Su"",""initials_pn"":""J.""},{""Authorseq"":8,""auid"":57214901822,""given_name_pn"":""Jiang Ling"",""surname_pn"":""Zhang"",""initials_pn"":""J.L.""},{""Authorseq"":9,""auid"":24367445600,""given_name_pn"":""Juan"",""surname_pn"":""Tao"",""initials_pn"":""J.""},{""Authorseq"":10,""auid"":7405547456,""given_name_pn"":""Jianda"",""surname_pn"":""Zhou"",""initials_pn"":""J.""},{""Authorseq"":11,""auid"":24450002300,""given_name_pn"":""Xiang"",""surname_pn"":""Chen"",""initials_pn"":""X.""},{""Authorseq"":12,""auid"":57223739560,""given_name_pn"":""Cong"",""surname_pn"":""Peng"",""initials_pn"":""C.""}]"""
40,S0006295220302884,#57211292655 #57211292655 #57211292655 #57211292655 conducted #57211292655 epr #57211292655 ros #57211292655 tem #57211292655 confocal #57211292655 analysis #57211292655 #57211292655 p53 #57211292655 ptm #57211292655 #57211292655 #57217083238 #57211292655 p53 #57211292655 homooligomrization #57211292655 analysis #57211292655 #57211292655 #55897979500 #57211292655 mtt #57211292655 assay #57211292655 #57211292655 cell #57211292655 cycle #57211292655 analysis #57211292655 #57211292655 #9940767100 #57211292655 mhc #57211292655 synthesis #57211292655 #6603668681 #57211292655 project #57211292655 design #57211292655 #57211292655 #6603668681 #57211292655 #57211292655 #57211292655 #57211292655 eep #57211292655 wrote #57211292655 manuscript,11,"{epr: 'report', ros: 'test', tem: 'test', confocal: 'block', p53: 'unit', ptm: 'unit', p53: 'unit', mtt: 'unit', assay: 'assembly', mhc: '/', eep: '/'}"," #57211292655 #57211292655 #57211292655  #57211292655 conducted #57211292655 EPR, #57211292655 ROS, #57211292655 TEM, #57211292655 confocal #57211292655 analysis, #57211292655 and #57211292655 p53 #57211292655 PTM; #57211292655 S #57211292655  #57217083238 , #57211292655 p53 #57211292655 homo-oligomrization #57211292655 analysis; #57211292655 A #57211292655  #55897979500 , #57211292655 MTT #57211292655 assay #57211292655 and #57211292655 cell #57211292655 cycle #57211292655 analysis; #57211292655 V #57211292655  #9940767100 , #57211292655 MHC #57211292655 synthesis; #57211292655  #6603668681 , #57211292655 project #57211292655 design; #57211292655 U #57211292655  #6603668681  #57211292655 & #57211292655 #57211292655 #57211292655 eep #57211292655 wrote #57211292655 manuscript.","[{Authorseq"":1,""auid"":57211292655,""surname_pn"":""Deepa""},{""Authorseq"":2,""auid"":55897979500,""given_name_pn"":""Anil"",""surname_pn"":""Mittal"",""initials_pn"":""A.""},{""Authorseq"":3,""auid"":57217083238,""given_name_pn"":""Shashank"",""surname_pn"":""Taxak"",""initials_pn"":""S.""},{""Authorseq"":4,""auid"":9940767100,""given_name_pn"":""Vibha"",""surname_pn"":""Tandon"",""initials_pn"":""V.""},{""Authorseq"":5,""auid"":6603668681,""given_name_pn"":""Uttam"",""surname_pn"":""Pati"",""initials_pn"":""U.""}]"""
41,S0006320721000835,#57190834705 conceptualisation methodology software formal analysis data curation writing original draft writing review editing visualization #38662550500 conceptualisation methodology software data curation writing review editing visualization #7402061574 conceptualisation writing review editing funding acquisition #55273233100 methodology software writing review editing #24076356800 conceptualisation methodology writing review editing supervision funding acquisition,5,"{curation: 'preparation', visualization: 'acquisition', curation: 'extraction', visualization: 'organization', conceptualisation: 'application'}"," #57190834705 : Conceptualisation, Methodology, Software, Formal Analysis, Data Curation, Writing - Original Draft, Writing – Review and Editing, Visualization.  #38662550500 : Conceptualisation, Methodology, Software, Data Curation, Writing – Review and Editing, Visualization.  #7402061574 : Conceptualisation, Writing – Review and Editing, Funding acquisition. Frederik W.  #55273233100 : Methodology, Software, Writing – Review and Editing.  #24076356800 : Conceptualisation, Methodology, Writing – Review and Editing, Supervision, Funding acquisition.","[{Authorseq"":1,""auid"":57190834705,""given_name_pn"":""Katharine L."",""surname_pn"":""Senior"",""initials_pn"":""K.L.""},{""Authorseq"":2,""auid"":38662550500,""given_name_pn"":""Katherine M."",""surname_pn"":""Giljohann"",""initials_pn"":""K.M.""},{""Authorseq"":3,""auid"":7402061574,""given_name_pn"":""Michael A."",""surname_pn"":""McCarthy"",""initials_pn"":""M.A.""},{""Authorseq"":4,""auid"":55273233100,""given_name_pn"":""Frederick W."",""surname_pn"":""Rainsford"",""initials_pn"":""F.W.""},{""Authorseq"":5,""auid"":24076356800,""given_name_pn"":""Luke T."",""surname_pn"":""Kelly"",""initials_pn"":""L.T.""}]"""
42,S0006349515002945,#26030553000 #55652867000 #10143644400 c #26030553000 developed mathematical models #26030553000 #55652867000 performed research developed numerical tools analyzed data #26030553000 #10143644400 c #55652867000 wrote article,0,{}," #26030553000 ,  #55652867000 , and  #10143644400 -C. designed research;  #26030553000  developed mathematical models;  #26030553000  and  #55652867000  performed research, developed numerical tools, and analyzed data; and  #26030553000 ,  #10143644400 -C., and  #55652867000  wrote the article.","[{Authorseq"":1,""auid"":26030553000,""given_name_pn"":""Moritz"",""surname_pn"":""Mercker"",""initials_pn"":""M.""},{""Authorseq"":2,""auid"":55652867000,""given_name_pn"":""Alexandra"",""surname_pn"":""Köthe"",""initials_pn"":""A.""},{""Authorseq"":3,""auid"":10143644400,""given_name_pn"":""Anna"",""surname_pn"":""Marciniak-Czochra"",""initials_pn"":""A.""}]"""
43,S0006349515003008,#56479211200 #6602281641 designed research #56479211200 #24554512000 #55787500100 #14052202600 performed research #56479211200 #24554512000 analyzed data #56479211200 #6602281641 wrote article contributions coauthors,1,{coauthors: '.'}," #56479211200  and  #6602281641  designed the research;  #56479211200 ,  #24554512000 ,  #55787500100 , and  #14052202600  performed research;  #56479211200  and  #24554512000  analyzed data;  #56479211200  and  #6602281641  wrote the article, with contributions from all co-authors.","[{Authorseq"":1,""auid"":56479211200,""given_name_pn"":""David E."",""surname_pn"":""Koser"",""initials_pn"":""D.E.""},{""Authorseq"":2,""auid"":24554512000,""given_name_pn"":""Emad"",""surname_pn"":""Moeendarbary"",""initials_pn"":""E.""},{""Authorseq"":3,""auid"":55787500100,""given_name_pn"":""Janina"",""surname_pn"":""Hanne"",""initials_pn"":""J.""},{""Authorseq"":4,""auid"":14052202600,""given_name_pn"":""Stefanie"",""surname_pn"":""Kuerten"",""initials_pn"":""S.""},{""Authorseq"":5,""auid"":6602281641,""given_name_pn"":""Kristian"",""surname_pn"":""Franze"",""initials_pn"":""K.""}]"""
44,S0006349515005962,#8546010000 produced recombinant proteins #8546010000 #8554788600 performed #7004237468 et experiments #56730853800 carried fluorescence microscopy experiments #6507366766 performed md simulations #9270560100 contributed analytic tools #8546010000 #6507366766 #26643063500 #7402241023 wrote manuscript all authors designed experiments analyzed data commented manuscript,5,"{recombinant: 'human', fluorescence: 'electron', microscopy: 'of', md: 'in', analytic: 'analysis'}"," #8546010000  produced recombinant proteins.  #8546010000  and  #8554788600  performed  #7004237468 ET experiments.  #56730853800  carried out fluorescence microscopy experiments.  #6507366766  performed MD simulations.  #9270560100  contributed analytic tools.  #8546010000 ,  #6507366766 ,  #26643063500 , and  #7402241023  wrote the manuscript. All authors designed experiments, analyzed data, and commented on the manuscript.","[{Authorseq"":1,""auid"":8546010000,""given_name_pn"":""Kangkan"",""surname_pn"":""Halder"",""initials_pn"":""K.""},{""Authorseq"":2,""auid"":6507366766,""given_name_pn"":""Nicole"",""surname_pn"":""Dölker"",""initials_pn"":""N.""},{""Authorseq"":3,""auid"":8554788600,""given_name_pn"":""Qui"",""surname_pn"":""Van"",""initials_pn"":""Q.""},{""Authorseq"":4,""auid"":9270560100,""given_name_pn"":""Ingo"",""surname_pn"":""Gregor"",""initials_pn"":""I.""},{""Authorseq"":5,""auid"":6601962256,""given_name_pn"":""Achim"",""surname_pn"":""Dickmanns"",""initials_pn"":""A.""},{""Authorseq"":6,""auid"":56730853800,""given_name_pn"":""Imke"",""surname_pn"":""Baade"",""initials_pn"":""I.""},{""Authorseq"":7,""auid"":6603915418,""given_name_pn"":""Ralph H."",""surname_pn"":""Kehlenbach"",""initials_pn"":""R.H.""},{""Authorseq"":8,""auid"":7004237468,""given_name_pn"":""Ralf"",""surname_pn"":""Ficner"",""initials_pn"":""R.""},{""Authorseq"":9,""auid"":57203068900,""given_name_pn"":""Jörg"",""surname_pn"":""Enderlein"",""initials_pn"":""J.""},{""Authorseq"":10,""auid"":26643063500,""given_name_pn"":""Helmut"",""surname_pn"":""Grubmüller"",""initials_pn"":""H.""},{""Authorseq"":11,""auid"":7402241023,""given_name_pn"":""Heinz"",""surname_pn"":""Neumann"",""initials_pn"":""H.""}]"""
45,S0006349515006074,all authors contributed model development simulations writing article,1,{simulations: 'and'},"All authors contributed to model development, simulations, and writing of the article.","[{Authorseq"":1,""auid"":12779028200,""given_name_pn"":""Bradford E."",""surname_pn"":""Peercy"",""initials_pn"":""B.E.""},{""Authorseq"":2,""auid"":7201763984,""given_name_pn"":""Arthur S."",""surname_pn"":""Sherman"",""initials_pn"":""A.S.""},{""Authorseq"":3,""auid"":7004379894,""given_name_pn"":""Richard"",""surname_pn"":""Bertram"",""initials_pn"":""R.""}]"""
46,S0006349516000035,#55569360800 #57212314109  #56322329900 #55569360800 #57212314109 #56322329900  #57212314109  #55569360800 wrote article,0,{}," #55569360800 ,  #57212314109 ., and  #56322329900 . designed research.  #55569360800  and  #57212314109 . performed simulations, analyzed data, and produced the figures and table.  #56322329900 .,  #57212314109 ., and  #55569360800  wrote the article.","[{Authorseq"":1,""auid"":55569360800,""given_name_pn"":""Yun"",""surname_pn"":""Luo"",""initials_pn"":""Y.""},{""Authorseq"":2,""auid"":57212314109,""given_name_pn"":""Angelo R."",""surname_pn"":""Rossi"",""initials_pn"":""A.R.""},{""Authorseq"":3,""auid"":56322329900,""given_name_pn"":""Andrew L."",""surname_pn"":""Harris"",""initials_pn"":""A.L.""}]"""
47,S0006349516000539,#56177230800 designed experiments performed experiments analyzed data wrote article #26643130400 designed experiments analyzed data #7404871922 designed experiments analyzed data wrote article,0,{}," #56177230800  designed experiments, performed experiments, analyzed data, and wrote the article.  #26643130400  designed experiments and analyzed data.  #7404871922  designed experiments, analyzed data, and wrote the article.","[{Authorseq"":1,""auid"":56177230800,""given_name_pn"":""Kwang Ho"",""surname_pn"":""Hur"",""initials_pn"":""K.H.""},{""Authorseq"":2,""auid"":26643130400,""given_name_pn"":""Yan"",""surname_pn"":""Chen"",""initials_pn"":""Y.""},{""Authorseq"":3,""auid"":7404871922,""given_name_pn"":""Joachim D."",""surname_pn"":""Mueller"",""initials_pn"":""J.D.""}]"""
48,S0006349516303538,#55775718600 #35238176500 #26643495700 #7004390355 designed experiments #55775718600 #35238176500 performed experiments analyzed results authors wrote edited article,0,{}," #55775718600 ,  #35238176500 ,  #26643495700 , and  #7004390355  designed the experiments;  #55775718600  and  #35238176500  performed the experiments and analyzed the results; and all authors wrote and edited the article.","[{Authorseq"":1,""auid"":55775718600,""given_name_pn"":""Bastian"",""surname_pn"":""Kubsch"",""initials_pn"":""B.""},{""Authorseq"":2,""auid"":35238176500,""given_name_pn"":""Tom"",""surname_pn"":""Robinson"",""initials_pn"":""T.""},{""Authorseq"":3,""auid"":26643495700,""given_name_pn"":""Reinhard"",""surname_pn"":""Lipowsky"",""initials_pn"":""R.""},{""Authorseq"":4,""auid"":7004390355,""given_name_pn"":""Rumiana"",""surname_pn"":""Dimova"",""initials_pn"":""R.""}]"""
49,S0006349516310402,#7102121768 conceptualized general project designed research analyzed data wrote manuscript #57183290400 designed research performed research analyzed data wrote manuscript #25227038800 designed performed research #7006591071 conceptualized general project,1,{conceptualized: 'created'}," #7102121768  conceptualized the general project, designed research, analyzed data, and wrote the manuscript;  #57183290400  designed research, performed research, analyzed data, and wrote the manuscript;  #25227038800  designed and performed research; and  #7006591071  conceptualized the general project.","[{Authorseq"":1,""auid"":57183290400,""given_name_pn"":""Zhen"",""surname_pn"":""Huang"",""initials_pn"":""Z.""},{""Authorseq"":2,""auid"":25227038800,""given_name_pn"":""Alvaro M."",""surname_pn"":""Toledo"",""initials_pn"":""A.M.""},{""Authorseq"":3,""auid"":7006591071,""given_name_pn"":""Jorge L."",""surname_pn"":""Benach"",""initials_pn"":""J.L.""},{""Authorseq"":4,""auid"":7102121768,""given_name_pn"":""Erwin"",""surname_pn"":""London"",""initials_pn"":""E.""}]"""
50,S0006349516342874,#56544622000 #10038963900 designed research #56544622000 performed research analyzed data #56544622000 #10038963900 wrote article,0,{}, #56544622000  and  #10038963900  designed research;  #56544622000  performed research and analyzed data; and  #56544622000  and  #10038963900  wrote the article.,"[{Authorseq"":1,""auid"":56544622000,""given_name_pn"":""Elisabeth G."",""surname_pn"":""Rens"",""initials_pn"":""E.G.""},{""Authorseq"":2,""auid"":10038963900,""given_name_pn"":""Roeland M.H."",""surname_pn"":""Merks"",""initials_pn"":""R.M.H.""}]"""
51,S0006349517301583,#55653401800 dw #56026483100 #42462439500 #7003413755 p #7007069387 #35279863900 conceived coordinated study wrote article #55653401800 dw #56026483100 #42462439500 performed analyzed mass spectrometry experiments #23029285700 #7801333036 h #7004932141 #7007069387 provided mvm samples performed tryptophan fluorescence cd studies all authors reviewed results approved final version manuscript,7,"{dw: 'p', dw: 'p', spectrometry: 'measurement', mvm: 'no', tryptophan: 'on', fluorescence: 'for', cd: 'and'}"," #55653401800 d.W.,  #56026483100 ,  #42462439500 ,  #7003413755 P.,  #7007069387 , and  #35279863900  conceived and coordinated the study and wrote the article.  #55653401800 d.W.,  #56026483100 , and  #42462439500  performed and analyzed mass spectrometry experiments.  #23029285700 ,  #7801333036 -H.,  #7004932141 , and  #7007069387  provided MVM samples and performed tryptophan fluorescence and CD studies. All authors reviewed the results and approved the final version of the manuscript.","[{Authorseq"":1,""auid"":55653401800,""given_name_pn"":""Michiel"",""surname_pn"":""van de Waterbeemd"",""initials_pn"":""M.""},{""Authorseq"":2,""auid"":56026483100,""given_name_pn"":""Aida"",""surname_pn"":""Llauró"",""initials_pn"":""A.""},{""Authorseq"":3,""auid"":42462439500,""given_name_pn"":""Joost"",""surname_pn"":""Snijder"",""initials_pn"":""J.""},{""Authorseq"":4,""auid"":23029285700,""given_name_pn"":""Alejandro"",""surname_pn"":""Valbuena"",""initials_pn"":""A.""},{""Authorseq"":5,""auid"":7801333036,""given_name_pn"":""Alicia"",""surname_pn"":""Rodríguez-Huete"",""initials_pn"":""A.""},{""Authorseq"":6,""auid"":7004932141,""given_name_pn"":""Miguel Angel"",""surname_pn"":""Fuertes"",""initials_pn"":""M.A.""},{""Authorseq"":7,""auid"":7003413755,""given_name_pn"":""Pedro J."",""surname_pn"":""de Pablo"",""initials_pn"":""P.J.""},{""Authorseq"":8,""auid"":7007069387,""given_name_pn"":""Mauricio G."",""surname_pn"":""Mateu"",""initials_pn"":""M.G.""},{""Authorseq"":9,""auid"":35279863900,""given_name_pn"":""Albert J.R."",""surname_pn"":""Heck"",""initials_pn"":""A.J.R.""}]"""
52,S0006349517308457,#35272261100 designed research #55615625900 #56784210900 #35272261100 performed research #55615625900 analyzed data #55615625900 #35272261100 wrote article,0,{}," #35272261100  designed the research.  #55615625900 ,  #56784210900 , and  #35272261100  performed the research.  #55615625900  analyzed the data.  #55615625900  and  #35272261100  wrote the article.","[{Authorseq"":1,""auid"":55615625900,""given_name_pn"":""Shunichi"",""surname_pn"":""Ishida"",""initials_pn"":""S.""},{""Authorseq"":2,""auid"":56784210900,""given_name_pn"":""Akihisa"",""surname_pn"":""Ami"",""initials_pn"":""A.""},{""Authorseq"":3,""auid"":35272261100,""given_name_pn"":""Yohsuke"",""surname_pn"":""Imai"",""initials_pn"":""Y.""}]"""
53,S0006349517311372,#57188648536 developed coarsegrained model performed simulations conducted data analysis #56591528900 prepared structural models endpoints performed preliminary simulations #57199731374 performed simulations data analysis #57188648536 #8834609400 designed study wrote manuscript,4,"{simulations: 'studies', endpoints: 'and', simulations: 'calculations', simulations: 'systematic'}"," #57188648536  developed the coarse-grained model, performed simulations, and conducted data analysis.  #56591528900  prepared the structural models of the endpoints and performed preliminary simulations.  #57199731374  performed simulations and data analysis.  #57188648536  and  #8834609400  designed the study and wrote the manuscript.","[{Authorseq"":1,""auid"":57188648536,""given_name_pn"":""Mariana"",""surname_pn"":""Levi"",""initials_pn"":""M.""},{""Authorseq"":2,""auid"":56591528900,""given_name_pn"":""Kien"",""surname_pn"":""Nguyen"",""initials_pn"":""K.""},{""Authorseq"":3,""auid"":57199731374,""given_name_pn"":""Liah"",""surname_pn"":""Dukaye"",""initials_pn"":""L.""},{""Authorseq"":4,""auid"":8834609400,""given_name_pn"":""Paul Charles"",""surname_pn"":""Whitford"",""initials_pn"":""P.C.""}]"""
54,S0006349517351366,#56406135400 designed performed experiments analyzed data wrote manuscript,0,{}," #56406135400  designed and performed all the experiments, analyzed the data, and wrote the manuscript.","[{Authorseq"":1,""auid"":56406135400,""given_name_pn"":""Ryo"",""surname_pn"":""Honda"",""initials_pn"":""R.""}]"""
55,S0006349518302571,all authors designed study #7006743609 #6603024900 #41861240800 performed analysis #6603024900 #7004614256 contributed elaborate analysis tools #6603024900 #7004337681  #7006470900 supervised study #7006470900 wrote manuscript contributions coauthors all authors read approved final manuscript,1,{coauthors: 'after'},"All authors designed the study.  #7006743609 ,  #6603024900 , and  #41861240800  performed the analysis.  #6603024900  and  #7004614256  contributed to elaborate analysis tools.  #6603024900 ,  #7004337681 ., and  #7006470900  supervised the study.  #7006470900  wrote the manuscript with contributions from all coauthors. All authors read and approved the final manuscript.","[{Authorseq"":1,""auid"":7006743609,""given_name_pn"":""Frédéric G."",""surname_pn"":""Brunet"",""initials_pn"":""F.G.""},{""Authorseq"":2,""auid"":6603024900,""given_name_pn"":""Benjamin"",""surname_pn"":""Audit"",""initials_pn"":""B.""},{""Authorseq"":3,""auid"":41861240800,""given_name_pn"":""Guénola"",""surname_pn"":""Drillon"",""initials_pn"":""G.""},{""Authorseq"":4,""auid"":7004614256,""given_name_pn"":""Françoise"",""surname_pn"":""Argoul"",""initials_pn"":""F.""},{""Authorseq"":5,""auid"":7004337681,""given_name_pn"":""Jean Nicolas"",""surname_pn"":""Volff"",""initials_pn"":""J.N.""},{""Authorseq"":6,""auid"":7006470900,""given_name_pn"":""Alain"",""surname_pn"":""Arneodo"",""initials_pn"":""A.""}]"""
56,S000634951830496X,#7405567751 #6603097911 #55317723100 conceived idea designed experiments #57193253843 #57193259169 #56670374600 prepared samples performed experiments #55317723100 #7405567751 #55574231396 performed theoretical development data analysis model hypothesis validation #55317723100 #7405567751 #6603097911 wrote revised manuscript all authors participated discussion manuscript development,1,{validation: 'studies'}," #7405567751 ,  #6603097911 , and  #55317723100  conceived the idea and designed the experiments.  #57193253843 ,  #57193259169 , and  #56670374600  prepared the samples and performed the experiments.  #55317723100 ,  #7405567751 , and  #55574231396  performed theoretical development, data analysis, and model and hypothesis validation.  #55317723100 ,  #7405567751 , and  #6603097911  wrote and revised the manuscript. All authors participated in discussion and manuscript development.","[{Authorseq"":1,""auid"":55317723100,""given_name_pn"":""Miao"",""surname_pn"":""Yu"",""initials_pn"":""M.""},{""Authorseq"":2,""auid"":57193253843,""given_name_pn"":""Aria"",""surname_pn"":""Mahtabfar"",""initials_pn"":""A.""},{""Authorseq"":3,""auid"":57193259169,""given_name_pn"":""Paul"",""surname_pn"":""Beelen"",""initials_pn"":""P.""},{""Authorseq"":4,""auid"":56670374600,""given_name_pn"":""Yasir"",""surname_pn"":""Demiryurek"",""initials_pn"":""Y.""},{""Authorseq"":5,""auid"":6602582521,""given_name_pn"":""David I."",""surname_pn"":""Shreiber"",""initials_pn"":""D.I.""},{""Authorseq"":6,""auid"":7004645245,""given_name_pn"":""Jeffrey D."",""surname_pn"":""Zahn"",""initials_pn"":""J.D.""},{""Authorseq"":7,""auid"":6603097911,""given_name_pn"":""Ramsey A."",""surname_pn"":""Foty"",""initials_pn"":""R.A.""},{""Authorseq"":8,""auid"":55574231396,""given_name_pn"":""Liping"",""surname_pn"":""Liu"",""initials_pn"":""L.""},{""Authorseq"":9,""auid"":7405567751,""given_name_pn"":""Hao"",""surname_pn"":""Lin"",""initials_pn"":""H.""}]"""
57,S0006349518305265,#7102776689 #7005737357 #7402176857 developed original concept #6602683996 #13806271400 #17343778800 developed experimental procedures designed data processing routines #7004985300 set second stoppedflow device gave essential experimental instructions #6602683996 #36025361500 optimized experimental routines #6602683996 #57202030198 performed majority stoppedflow experiments #6602683996 analyzed data #6602237939 purified protein assisted #57202030198 work lab #6602660882 #35557396400 performed analyzed secmals experiments #56470919600 calculated form factors #6602683996 #7402176857 wrote manuscript,5,"{stoppedflow: 'test', optimized: 'modified', stoppedflow: 'flow', purified: 'performed', secmals: 'sample'}"," #7102776689 ,  #7005737357 , and  #7402176857  developed the original concept.  #6602683996 ,  #13806271400 , and  #17343778800  developed the experimental procedures and designed the data processing routines.  #7004985300  set up a second stopped-flow device and gave essential experimental instructions.  #6602683996  and  #36025361500  optimized experimental routines.  #6602683996  and  #57202030198  performed the majority of the stopped-flow experiments, and  #6602683996  analyzed the data.  #6602237939  purified the protein and assisted  #57202030198  with her work in the lab.  #6602660882  and  #35557396400  performed and analyzed the SEC-MALS experiments.  #56470919600  calculated the form factors.  #6602683996  and  #7402176857  wrote the manuscript.","[{Authorseq"":1,""auid"":6602683996,""given_name_pn"":""Norbert"",""surname_pn"":""Mücke"",""initials_pn"":""N.""},{""Authorseq"":2,""auid"":57202030198,""given_name_pn"":""Lara"",""surname_pn"":""Kämmerer"",""initials_pn"":""L.""},{""Authorseq"":3,""auid"":13806271400,""given_name_pn"":""Stefan"",""surname_pn"":""Winheim"",""initials_pn"":""S.""},{""Authorseq"":4,""auid"":17343778800,""given_name_pn"":""Robert"",""surname_pn"":""Kirmse"",""initials_pn"":""R.""},{""Authorseq"":5,""auid"":36025361500,""given_name_pn"":""Jan"",""surname_pn"":""Krieger"",""initials_pn"":""J.""},{""Authorseq"":6,""auid"":6602237939,""given_name_pn"":""Maria"",""surname_pn"":""Mildenberger"",""initials_pn"":""M.""},{""Authorseq"":7,""auid"":6602660882,""given_name_pn"":""Jochen"",""surname_pn"":""Baßler"",""initials_pn"":""J.""},{""Authorseq"":8,""auid"":35557396400,""given_name_pn"":""Ed"",""surname_pn"":""Hurt"",""initials_pn"":""E.""},{""Authorseq"":9,""auid"":7004985300,""given_name_pn"":""Wolfgang H."",""surname_pn"":""Goldmann"",""initials_pn"":""W.H.""},{""Authorseq"":10,""auid"":7102776689,""given_name_pn"":""Ueli"",""surname_pn"":""Aebi"",""initials_pn"":""U.""},{""Authorseq"":11,""auid"":56470919600,""given_name_pn"":""Katalin"",""surname_pn"":""Toth"",""initials_pn"":""K.""},{""Authorseq"":12,""auid"":7005737357,""given_name_pn"":""Jörg"",""surname_pn"":""Langowski"",""initials_pn"":""J.""},{""Authorseq"":13,""auid"":7402176857,""given_name_pn"":""Harald"",""surname_pn"":""Herrmann"",""initials_pn"":""H.""}]"""
